"","Kingdom","Phylum","Class","Order","Family","Genus","Primary_lifestyle"
"g__Coprinellus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","soil_saprotroph"
"g__Saccharomyces","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Saccharomyces","nectar/tap_saprotroph"
"g__Penicillium","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","unspecified_saprotroph"
"g__Tuber","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Tuberaceae","g__Tuber","ectomycorrhizal"
"g__Clavulina","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","g__Clavulina","ectomycorrhizal"
"Unclass_o__Agaricales","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,"Unclass_o__Agaricales",NA
"g__Cortinarius","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius","ectomycorrhizal"
"g__Penicillago","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Penicillaginaceae","g__Penicillago",""
"g__Pulvinula","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Pulvinula","ectomycorrhizal"
"g__Paragalactinia","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Paragalactinia",""
"g__Cenococcum","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Gloniales","f__Gloniaceae","g__Cenococcum","ectomycorrhizal"
"g__Lactarius","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Lactarius","ectomycorrhizal"
"Unclass_o__Pleosporales","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,"Unclass_o__Pleosporales",NA
"Unclass_f__Chaetomiaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","Unclass_f__Chaetomiaceae",NA
"g__Astraeus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Astraeaceae","g__Astraeus","ectomycorrhizal"
"g__Tomentella","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella","ectomycorrhizal"
"g__Inosperma","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inosperma",""
"g__Lobulomycetales_gen_Incertae_sedis","k__Fungi","p__Chytridiomycota","c__Lobulomycetes","o__Lobulomycetales","f__Lobulomycetales_fam_Incertae_sedis","g__Lobulomycetales_gen_Incertae_sedis",""
"g__Pezizaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Pezizaceae_gen_Incertae_sedis",""
"g__Solicoccozyma","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Solicoccozyma","soil_saprotroph"
"g__Thelephora","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Thelephora","ectomycorrhizal"
"g__Inocybe","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","ectomycorrhizal"
"g__Diaporthe","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Diaporthe","plant_pathogen"
"g__Ijuhya","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Ijuhya","litter_saprotroph"
"g__Russula","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula","ectomycorrhizal"
"g__Genea","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Genea","ectomycorrhizal"
"g__Pyronema","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Pyronema","soil_saprotroph"
"g__Leucoagaricus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Leucoagaricus","soil_saprotroph"
"g__Pulvinulaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pulvinulaceae","g__Pulvinulaceae_gen_Incertae_sedis",""
"g__Cladorrhinum","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Podosporaceae","g__Cladorrhinum","unspecified_saprotroph"
"g__Annulatascaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Annulatascales","f__Annulatascaceae","g__Annulatascaceae_gen_Incertae_sedis",""
"g__Cazia","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Cazia","ectomycorrhizal"
"g__Trichothecium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Trichothecium","plant_pathogen"
"g__Venturiales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiales_fam_Incertae_sedis","g__Venturiales_gen_Incertae_sedis",""
"g__Hydnobolites","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Hydnobolites","ectomycorrhizal"
"g__Funneliformis","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Funneliformis","arbuscular_mycorrhizal"
"g__Naganishia","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","unspecified_saprotroph"
"g__Fusarium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","plant_pathogen"
"g__Didymellaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymellaceae_gen_Incertae_sedis",""
"g__Scleroderma","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Sclerodermataceae","g__Scleroderma","ectomycorrhizal"
"g__Ascobolus","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Ascobolaceae","g__Ascobolus","litter_saprotroph"
"g__Dothiora","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Dothiora","wood_saprotroph"
"Unclass_c__Eurotiomycetes","k__Fungi","p__Ascomycota","c__Eurotiomycetes",NA,NA,"Unclass_c__Eurotiomycetes",NA
"g__Podila","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Podila",""
"g__Pseudoechria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Schizotheciaceae","g__Pseudoechria",""
"g__Thelonectria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Thelonectria","litter_saprotroph"
"g__Helvella","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Helvellaceae","g__Helvella","ectomycorrhizal"
"g__Paraphoma","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma","plant_pathogen"
"g__Cladosporium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","litter_saprotroph"
"g__Alternaria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","plant_pathogen"
"Unclass_f__Russulaceae","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","Unclass_f__Russulaceae",NA
"g__Antarctomyces","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Thelebolaceae","g__Antarctomyces","soil_saprotroph"
"Unclass_f__Mortierellaceae","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","Unclass_f__Mortierellaceae",NA
"g__Phialemonium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Cephalothecaceae","g__Phialemonium","animal_parasite"
"g__Hydnoplicata","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Hydnoplicata","ectomycorrhizal"
"g__Pseudopithomyces","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Pseudopithomyces","plant_pathogen"
"g__Mortierella","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","soil_saprotroph"
"g__Humicola","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Humicola","wood_saprotroph"
"g__Chaetothyriales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Chaetothyriales_fam_Incertae_sedis","g__Chaetothyriales_gen_Incertae_sedis",""
"g__Atrocalyx","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiotremataceae","g__Atrocalyx","wood_saprotroph"
"g__Beauveria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Beauveria","animal_parasite"
"g__Myxomphalia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Myxomphalia","litter_saprotroph"
"g__Elaphomyces","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Elaphomycetaceae","g__Elaphomyces","ectomycorrhizal"
"g__Pteridiospora","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Pteridiospora","wood_saprotroph"
"g__Coprinus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Coprinus","dung_saprotroph"
"g__Jugulospora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Neoschizotheciaceae","g__Jugulospora","unspecified_saprotroph"
"g__Mortierellales_gen_Incertae_sedis","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellales_fam_Incertae_sedis","g__Mortierellales_gen_Incertae_sedis",""
"g__Cryptococcus","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Cryptococcus","unspecified_saprotroph"
"g__Oidiodendron","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Myxotrichaceae","g__Oidiodendron","soil_saprotroph"
"g__Glomus","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus","arbuscular_mycorrhizal"
"Unclass_o__Onygenales","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales",NA,"Unclass_o__Onygenales",NA
"g__Arachnomyces","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Arachnomycetaceae","g__Arachnomyces","animal_parasite"
"g__Onygenales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Onygenales_fam_Incertae_sedis","g__Onygenales_gen_Incertae_sedis",""
"g__Membranomyces","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","g__Membranomyces","ectomycorrhizal"
"g__Neoschizothecium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Neoschizotheciaceae","g__Neoschizothecium",""
"g__Niesslia","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Niessliaceae","g__Niesslia","litter_saprotroph"
"g__Didymosphaeria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Didymosphaeria","plant_pathogen"
"Unclass_o__Sordariales","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales",NA,"Unclass_o__Sordariales",NA
"g__Purpureocillium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Ophiocordycipitaceae","g__Purpureocillium","animal_parasite"
"g__Synchytriaceae_gen_Incertae_sedis","k__Fungi","p__Chytridiomycota","c__Synchytriomycetes","o__Synchytriales","f__Synchytriaceae","g__Synchytriaceae_gen_Incertae_sedis",""
"g__Pyrenophora","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Pyrenophora","plant_pathogen"
"g__Cyphellophora","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophora","litter_saprotroph"
"g__Melaspileella","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Asterinales","f__Melaspileaceae","g__Melaspileella","wood_saprotroph"
"g__Otidea","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Otidea","ectomycorrhizal"
"Unclass_f__Orbiliaceae","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","Unclass_f__Orbiliaceae",NA
"Unclass_f__Bionectriaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","Unclass_f__Bionectriaceae",NA
"g__Geoglossales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Geoglossomycetes","o__Geoglossales","f__Geoglossales_fam_Incertae_sedis","g__Geoglossales_gen_Incertae_sedis",""
"g__Neostagonospora","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neostagonospora","litter_saprotroph"
"g__Tremellodendropsidales_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Tremellodendropsidales","f__Tremellodendropsidales_fam_Incertae_sedis","g__Tremellodendropsidales_gen_Incertae_sedis",""
"Unclass_p__Ascomycota","k__Fungi","p__Ascomycota",NA,NA,NA,"Unclass_p__Ascomycota",NA
"g__Sclerococcum","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Sclerococcales","f__Sclerococcaceae","g__Sclerococcum","lichen_parasite"
"Unclass_f__Cordycipitaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","Unclass_f__Cordycipitaceae",NA
"g__Ilyonectria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Ilyonectria","plant_pathogen"
