"","Kingdom","Phylum","Class","Order","Family","Genus","Primary_lifestyle","tid"
"g__Coprinellus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","soil_saprotroph","ft_1"
"g__Saccharomyces","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Saccharomyces","nectar/tap_saprotroph","ft_2"
"g__Penicillium","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","unspecified_saprotroph","ft_3"
"g__Tuber","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Tuberaceae","g__Tuber","ectomycorrhizal","ft_4"
"g__Clavulina","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","g__Clavulina","ectomycorrhizal","ft_5"
"Unclass_o__Agaricales","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,"Unclass_o__Agaricales",NA,"ft_6"
"g__Cortinarius","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius","ectomycorrhizal","ft_7"
"g__Penicillago","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Penicillaginaceae","g__Penicillago","","ft_8"
"g__Pulvinula","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Pulvinula","ectomycorrhizal","ft_9"
"g__Paragalactinia","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Paragalactinia","","ft_10"
"g__Cenococcum","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Gloniales","f__Gloniaceae","g__Cenococcum","ectomycorrhizal","ft_11"
"g__Lactarius","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Lactarius","ectomycorrhizal","ft_12"
"Unclass_o__Pleosporales","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,"Unclass_o__Pleosporales",NA,"ft_13"
"Unclass_f__Chaetomiaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","Unclass_f__Chaetomiaceae",NA,"ft_14"
"g__Astraeus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Astraeaceae","g__Astraeus","ectomycorrhizal","ft_15"
"g__Tomentella","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella","ectomycorrhizal","ft_16"
"g__Inosperma","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inosperma","","ft_17"
"g__Lobulomycetales_gen_Incertae_sedis","k__Fungi","p__Chytridiomycota","c__Lobulomycetes","o__Lobulomycetales","f__Lobulomycetales_fam_Incertae_sedis","g__Lobulomycetales_gen_Incertae_sedis","","ft_18"
"g__Pezizaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Pezizaceae_gen_Incertae_sedis","","ft_19"
"g__Solicoccozyma","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Solicoccozyma","soil_saprotroph","ft_20"
"g__Thelephora","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Thelephora","ectomycorrhizal","ft_21"
"g__Inocybe","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","ectomycorrhizal","ft_22"
"g__Diaporthe","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Diaporthe","plant_pathogen","ft_23"
"g__Ijuhya","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Ijuhya","litter_saprotroph","ft_24"
"g__Russula","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula","ectomycorrhizal","ft_25"
"g__Genea","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Genea","ectomycorrhizal","ft_26"
"g__Pyronema","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Pyronema","soil_saprotroph","ft_27"
"g__Leucoagaricus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Leucoagaricus","soil_saprotroph","ft_28"
"g__Pulvinulaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pulvinulaceae","g__Pulvinulaceae_gen_Incertae_sedis","","ft_29"
"g__Cladorrhinum","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Podosporaceae","g__Cladorrhinum","unspecified_saprotroph","ft_30"
"g__Annulatascaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Annulatascales","f__Annulatascaceae","g__Annulatascaceae_gen_Incertae_sedis","","ft_31"
"g__Cazia","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Cazia","ectomycorrhizal","ft_32"
"g__Trichothecium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Trichothecium","plant_pathogen","ft_33"
"g__Venturiales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiales_fam_Incertae_sedis","g__Venturiales_gen_Incertae_sedis","","ft_34"
"g__Hydnobolites","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Hydnobolites","ectomycorrhizal","ft_35"
"g__Funneliformis","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Funneliformis","arbuscular_mycorrhizal","ft_36"
"g__Naganishia","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","unspecified_saprotroph","ft_37"
"g__Fusarium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","plant_pathogen","ft_38"
"g__Didymellaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymellaceae_gen_Incertae_sedis","","ft_39"
"g__Scleroderma","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Sclerodermataceae","g__Scleroderma","ectomycorrhizal","ft_40"
"g__Ascobolus","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Ascobolaceae","g__Ascobolus","litter_saprotroph","ft_41"
"g__Dothiora","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Dothiora","wood_saprotroph","ft_42"
"Unclass_c__Eurotiomycetes","k__Fungi","p__Ascomycota","c__Eurotiomycetes",NA,NA,"Unclass_c__Eurotiomycetes",NA,"ft_43"
"g__Podila","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Podila","","ft_44"
"g__Pseudoechria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Schizotheciaceae","g__Pseudoechria","","ft_45"
"g__Thelonectria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Thelonectria","litter_saprotroph","ft_46"
"g__Helvella","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Helvellaceae","g__Helvella","ectomycorrhizal","ft_47"
"g__Paraphoma","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma","plant_pathogen","ft_48"
"g__Cladosporium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","litter_saprotroph","ft_49"
"g__Alternaria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","plant_pathogen","ft_50"
"Unclass_f__Russulaceae","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","Unclass_f__Russulaceae",NA,"ft_51"
"g__Antarctomyces","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Thelebolaceae","g__Antarctomyces","soil_saprotroph","ft_52"
"Unclass_f__Mortierellaceae","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","Unclass_f__Mortierellaceae",NA,"ft_53"
"g__Phialemonium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Cephalothecaceae","g__Phialemonium","animal_parasite","ft_54"
"g__Hydnoplicata","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Hydnoplicata","ectomycorrhizal","ft_55"
"g__Pseudopithomyces","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Pseudopithomyces","plant_pathogen","ft_56"
"g__Mortierella","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","soil_saprotroph","ft_57"
"g__Humicola","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Humicola","wood_saprotroph","ft_58"
"g__Chaetothyriales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Chaetothyriales_fam_Incertae_sedis","g__Chaetothyriales_gen_Incertae_sedis","","ft_59"
"g__Atrocalyx","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiotremataceae","g__Atrocalyx","wood_saprotroph","ft_60"
"g__Beauveria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Beauveria","animal_parasite","ft_61"
"g__Myxomphalia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Myxomphalia","litter_saprotroph","ft_62"
"g__Elaphomyces","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Elaphomycetaceae","g__Elaphomyces","ectomycorrhizal","ft_63"
"g__Pteridiospora","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Pteridiospora","wood_saprotroph","ft_64"
"g__Coprinus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Coprinus","dung_saprotroph","ft_65"
"g__Jugulospora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Neoschizotheciaceae","g__Jugulospora","unspecified_saprotroph","ft_66"
"g__Mortierellales_gen_Incertae_sedis","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellales_fam_Incertae_sedis","g__Mortierellales_gen_Incertae_sedis","","ft_67"
"g__Cryptococcus","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Cryptococcus","unspecified_saprotroph","ft_68"
"g__Oidiodendron","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Myxotrichaceae","g__Oidiodendron","soil_saprotroph","ft_69"
"g__Glomus","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus","arbuscular_mycorrhizal","ft_70"
"Unclass_o__Onygenales","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales",NA,"Unclass_o__Onygenales",NA,"ft_71"
"g__Arachnomyces","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Arachnomycetaceae","g__Arachnomyces","animal_parasite","ft_72"
"g__Onygenales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Onygenales_fam_Incertae_sedis","g__Onygenales_gen_Incertae_sedis","","ft_73"
"g__Membranomyces","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","g__Membranomyces","ectomycorrhizal","ft_74"
"g__Neoschizothecium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Neoschizotheciaceae","g__Neoschizothecium","","ft_75"
"g__Niesslia","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Niessliaceae","g__Niesslia","litter_saprotroph","ft_76"
"g__Didymosphaeria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Didymosphaeria","plant_pathogen","ft_77"
"Unclass_o__Sordariales","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales",NA,"Unclass_o__Sordariales",NA,"ft_78"
"g__Purpureocillium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Ophiocordycipitaceae","g__Purpureocillium","animal_parasite","ft_79"
"g__Synchytriaceae_gen_Incertae_sedis","k__Fungi","p__Chytridiomycota","c__Synchytriomycetes","o__Synchytriales","f__Synchytriaceae","g__Synchytriaceae_gen_Incertae_sedis","","ft_80"
"g__Pyrenophora","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Pyrenophora","plant_pathogen","ft_81"
"g__Cyphellophora","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophora","litter_saprotroph","ft_82"
"g__Melaspileella","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Asterinales","f__Melaspileaceae","g__Melaspileella","wood_saprotroph","ft_83"
"g__Otidea","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Otidea","ectomycorrhizal","ft_84"
"Unclass_f__Orbiliaceae","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","Unclass_f__Orbiliaceae",NA,"ft_85"
"Unclass_f__Bionectriaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","Unclass_f__Bionectriaceae",NA,"ft_86"
"g__Geoglossales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Geoglossomycetes","o__Geoglossales","f__Geoglossales_fam_Incertae_sedis","g__Geoglossales_gen_Incertae_sedis","","ft_87"
"g__Neostagonospora","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neostagonospora","litter_saprotroph","ft_88"
"g__Tremellodendropsidales_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Tremellodendropsidales","f__Tremellodendropsidales_fam_Incertae_sedis","g__Tremellodendropsidales_gen_Incertae_sedis","","ft_89"
"Unclass_p__Ascomycota","k__Fungi","p__Ascomycota",NA,NA,NA,"Unclass_p__Ascomycota",NA,"ft_90"
"g__Sclerococcum","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Sclerococcales","f__Sclerococcaceae","g__Sclerococcum","lichen_parasite","ft_91"
"Unclass_f__Cordycipitaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","Unclass_f__Cordycipitaceae",NA,"ft_92"
"g__Ilyonectria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Ilyonectria","plant_pathogen","ft_93"
"g__Basidiobolales_gen_Incertae_sedis","k__Fungi","p__Basidiobolomycota","c__Basidiobolomycetes","o__Basidiobolales","f__Basidiobolales_fam_Incertae_sedis","g__Basidiobolales_gen_Incertae_sedis","","ft_94"
"Unclass_f__Aspergillaceae","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","Unclass_f__Aspergillaceae",NA,"ft_95"
"Unclass_k__Fungi","k__Fungi",NA,NA,NA,NA,"Unclass_k__Fungi",NA,"ft_96"
"g__Aureobasidium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","sooty_mold","ft_97"
"g__Hyaloscypha","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Hyaloscypha","litter_saprotroph","ft_98"
"g__Basidiomycota_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Basidiomycota_cls_Incertae_sedis","o__Basidiomycota_ord_Incertae_sedis","f__Basidiomycota_fam_Incertae_sedis","g__Basidiomycota_gen_Incertae_sedis","","ft_99"
"g__Rhodotorula","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","unspecified_saprotroph","ft_100"
"g__Pseudoarthrographis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetes_ord_Incertae_sedis","f__Dothideomycetes_fam_Incertae_sedis","g__Pseudoarthrographis","plant_pathogen","ft_101"
"g__Trichocladium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Trichocladium","unspecified_saprotroph","ft_102"
"g__Chaetosphaeronema","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Chaetosphaeronema","plant_pathogen","ft_103"
"g__Monocillium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Monocillium","litter_saprotroph","ft_104"
"g__Filobasidium","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","unspecified_saprotroph","ft_105"
"g__Ascochyta","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Ascochyta","plant_pathogen","ft_106"
"g__Rhizoctonia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Rhizoctonia","plant_pathogen","ft_107"
"g__Umbelopsis","k__Fungi","p__Mucoromycota","c__Umbelopsidomycetes","o__Umbelopsidales","f__Umbelopsidaceae","g__Umbelopsis","soil_saprotroph","ft_108"
"Unclass_f__Didymellaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","Unclass_f__Didymellaceae",NA,"ft_109"
"Unclass_f__Nectriaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Unclass_f__Nectriaceae",NA,"ft_110"
"g__Sordariomycetes_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetes_ord_Incertae_sedis","f__Sordariomycetes_fam_Incertae_sedis","g__Sordariomycetes_gen_Incertae_sedis","","ft_111"
"g__Venturia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Venturia","plant_pathogen","ft_112"
"Unclass_f__Tubeufiaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Tubeufiales","f__Tubeufiaceae","Unclass_f__Tubeufiaceae",NA,"ft_113"
"g__Teratosphaeria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Teratosphaeria","plant_pathogen","ft_114"
"g__Wojnowiciella","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Wojnowiciella","litter_saprotroph","ft_115"
"g__Spizellomycetaceae_gen_Incertae_sedis","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Spizellomycetaceae","g__Spizellomycetaceae_gen_Incertae_sedis","","ft_116"
"g__Chytridiomycota_gen_Incertae_sedis","k__Fungi","p__Chytridiomycota","c__Chytridiomycota_cls_Incertae_sedis","o__Chytridiomycota_ord_Incertae_sedis","f__Chytridiomycota_fam_Incertae_sedis","g__Chytridiomycota_gen_Incertae_sedis","","ft_117"
"g__Mucor","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucoraceae","g__Mucor","soil_saprotroph","ft_118"
"g__Pseudogymnoascus","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","g__Pseudogymnoascus","soil_saprotroph","ft_119"
"g__Spizellomyces","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Spizellomycetaceae","g__Spizellomyces","pollen_saprotroph","ft_120"
"g__Rhizopogon","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Rhizopogonaceae","g__Rhizopogon","ectomycorrhizal","ft_121"
"g__Tetracladium_f__Helotiaceae","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Tetracladium_f__Helotiaceae",NA,"ft_122"
"g__Thelebolus","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Thelebolaceae","g__Thelebolus","dung_saprotroph","ft_123"
"Unclass_f__Herpotrichiellaceae","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","Unclass_f__Herpotrichiellaceae",NA,"ft_124"
"g__Phaeosphaeriaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeriaceae_gen_Incertae_sedis","","ft_125"
"g__Periconia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Periconiaceae","g__Periconia","plant_pathogen","ft_126"
"g__Laburnicola","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Laburnicola","wood_saprotroph","ft_127"
"g__Fusariella","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Fusariella","plant_pathogen","ft_128"
"g__Chaetomium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Chaetomium","litter_saprotroph","ft_129"
"g__Tricellula","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Tricellula","litter_saprotroph","ft_130"
"g__Claroideoglomus","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Claroideoglomeraceae","g__Claroideoglomus","arbuscular_mycorrhizal","ft_131"
"g__Tephrocybe","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Lyophyllaceae","g__Tephrocybe","soil_saprotroph","ft_132"
"g__Oliveonia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Auriculariales_fam_Incertae_sedis","g__Oliveonia","wood_saprotroph","ft_133"
"g__Acremonium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Acremonium","unspecified_saprotroph","ft_134"
"Unclass_f__Thelephoraceae","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","Unclass_f__Thelephoraceae",NA,"ft_135"
"g__Phialocephala","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Mollisiaceae","g__Phialocephala","soil_saprotroph","ft_136"
"g__Saitozyma","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Trimorphomycetaceae","g__Saitozyma","soil_saprotroph","ft_137"
"g__Dinemasporium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Chaetosphaeriales","f__Chaetosphaeriaceae","g__Dinemasporium","litter_saprotroph","ft_138"
"g__Calloriaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Calloriaceae","g__Calloriaceae_gen_Incertae_sedis","","ft_139"
"g__Pezicula","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Pezicula","root_endophyte","ft_140"
"g__Exophiala","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","animal_parasite","ft_141"
"Unclass_o__Pezizales","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales",NA,"Unclass_o__Pezizales",NA,"ft_142"
"Unclass_f__Pyronemataceae","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","Unclass_f__Pyronemataceae",NA,"ft_143"
"g__Kirschsteiniothelia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Kirschsteiniotheliales","f__Kirschsteiniotheliaceae","g__Kirschsteiniothelia","wood_saprotroph","ft_144"
"g__Lasiosphaeris","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Lasiosphaeris","unspecified_saprotroph","ft_145"
"Unclass_o__Pyxidiophorales","k__Fungi","p__Ascomycota","c__Laboulbeniomycetes","o__Pyxidiophorales",NA,"Unclass_o__Pyxidiophorales",NA,"ft_146"
"g__Neosartorya","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Neosartorya","unspecified_saprotroph","ft_147"
"g__Coniochaeta","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta","unspecified_saprotroph","ft_148"
"g__Lichenoconium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Abrothallales","f__Lichenoconiaceae","g__Lichenoconium","lichen_parasite","ft_149"
"g__Phaeosphaeria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria","litter_saprotroph","ft_150"
"g__Sporothrix","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Ophiostomatales","f__Ophiostomataceae","g__Sporothrix","plant_pathogen","ft_151"
"g__Hyalorbilia","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Hyalorbilia","wood_saprotroph","ft_152"
"g__Lachnum","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Lachnum","litter_saprotroph","ft_153"
"Unclass_c__Sordariomycetes","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,"Unclass_c__Sordariomycetes",NA,"ft_154"
"g__Venturiaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Venturiaceae_gen_Incertae_sedis","","ft_155"
"g__Pseudeurotium","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","g__Pseudeurotium","dung_saprotroph","ft_156"
"g__Ceratobasidium","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Ceratobasidium","plant_pathogen","ft_157"
"g__Sagenomella","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Sagenomella","unspecified_saprotroph","ft_158"
"g__Pholiotina","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Pholiotina","soil_saprotroph","ft_159"
"g__Plicariella","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Plicariella","ectomycorrhizal","ft_160"
