"","Kingdom","Phylum","Class","Order","Family","Genus","Species","combined_traits","Unique_Node_Name","tid"
"Unclass_f__Gemmatimonadaceae","k__Bacteria","p__Gemmatimonadota","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","Unclass_f__Gemmatimonadaceae",NA,NA,"Unclass_f__Gemmatimonadaceae","bt_1"
"g__Bradyrhizobium","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium",NA,NA,"g__Bradyrhizobium","bt_2"
"g__Arthrobacter","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter",NA,NA,"g__Arthrobacter","bt_3"
"Unclass_o__Gaiellales","k__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Gaiellales","f__","Unclass_o__Gaiellales",NA,NA,"Unclass_o__Gaiellales","bt_4"
"Unclass_o__Subgroup 2","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Subgroup 2","f__","Unclass_o__Subgroup 2",NA,NA,"Unclass_o__Subgroup 2","bt_5"
"g__JG30a-KF-32","k__Bacteria","p__Chloroflexi","c__Ktedonobacteria","o__Ktedonobacterales","f__Ktedonobacteraceae","g__JG30a-KF-32",NA,NA,"g__JG30a-KF-32","bt_6"
"g__Candidatus Udaeobacter","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Chthoniobacterales","f__Chthoniobacteraceae","g__Candidatus Udaeobacter",NA,NA,"g__Candidatus Udaeobacter","bt_7"
"g__GOUTA6","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Nitrosomonadaceae","g__GOUTA6",NA,NA,"g__GOUTA6","bt_8"
"Unclass_c__KD4-96","k__Bacteria","p__Chloroflexi","c__KD4-96","o__","f__","Unclass_c__KD4-96",NA,NA,"Unclass_c__KD4-96","bt_9"
"g__Adhaeribacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Hymenobacteraceae","g__Adhaeribacter",NA,NA,"g__Adhaeribacter","bt_10"
"Unclass_k__Bacteria","k__Bacteria","p__","c__","o__","f__","Unclass_k__Bacteria",NA,NA,"Unclass_k__Bacteria","bt_11"
"g__Bacillus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus",NA,NA,"g__Bacillus","bt_12"
"Unclass_f__67-14","k__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__67-14","Unclass_f__67-14",NA,NA,"Unclass_f__67-14","bt_13"
"g__Staphylococcus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus",NA,NA,"g__Staphylococcus","bt_14"
"Unclass_f__Xanthobacteraceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","Unclass_f__Xanthobacteraceae",NA,NA,"Unclass_f__Xanthobacteraceae","bt_15"
"g__Blastococcus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Frankiales","f__Geodermatophilaceae","g__Blastococcus",NA,NA,"g__Blastococcus","bt_16"
"g__Massilia","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia",NA,NA,"g__Massilia","bt_17"
"Unclass_o__Vicinamibacterales","k__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__","Unclass_o__Vicinamibacterales",NA,NA,"Unclass_o__Vicinamibacterales","bt_18"
"g__Limosilactobacillus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Limosilactobacillus",NA,NA,"g__Limosilactobacillus","bt_19"
"g__Acidothermus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Frankiales","f__Acidothermaceae","g__Acidothermus",NA,NA,"g__Acidothermus","bt_20"
"Unclass_p__Desulfobacterota","k__Bacteria","p__Desulfobacterota","c__","o__","f__","Unclass_p__Desulfobacterota",NA,NA,"Unclass_p__Desulfobacterota","bt_21"
"g__ADurb.Bin118","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Pedosphaeraceae","g__ADurb.Bin118",NA,NA,"g__ADurb.Bin118","bt_22"
"g__Noviherbaspirillum","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Noviherbaspirillum",NA,NA,"g__Noviherbaspirillum","bt_23"
"g__Conexibacter","k__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Conexibacter",NA,NA,"g__Conexibacter","bt_24"
"g__Listeria","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Listeriaceae","g__Listeria",NA,NA,"g__Listeria","bt_25"
"g__Caenimonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Caenimonas",NA,NA,"g__Caenimonas","bt_26"
"g__Sphingomonas","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas",NA,NA,"g__Sphingomonas","bt_27"
"g__Solirubrobacter","k__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Solirubrobacter",NA,NA,"g__Solirubrobacter","bt_28"
"Unclass_f__BIrii41","k__Bacteria","p__Myxococcota","c__Polyangia","o__Polyangiales","f__BIrii41","Unclass_f__BIrii41",NA,NA,"Unclass_f__BIrii41","bt_29"
"g__Gaiella","k__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Gaiellales","f__Gaiellaceae","g__Gaiella",NA,NA,"g__Gaiella","bt_30"
"g__Bryobacter","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Bryobacterales","f__Bryobacteraceae","g__Bryobacter",NA,NA,"g__Bryobacter","bt_31"
"g__Escherichia-Shigella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Escherichia-Shigella",NA,NA,"g__Escherichia-Shigella","bt_32"
"Unclass_c__Subgroup 5","k__Bacteria","p__Acidobacteriota","c__Subgroup 5","o__","f__","Unclass_c__Subgroup 5",NA,NA,"Unclass_c__Subgroup 5","bt_33"
"g__RB41","k__Bacteria","p__Acidobacteriota","c__Blastocatellia","o__Pyrinomonadales","f__Pyrinomonadaceae","g__RB41",NA,NA,"g__RB41","bt_34"
"Unclass_c__bacteriap25","k__Bacteria","p__Myxococcota","c__bacteriap25","o__","f__","Unclass_c__bacteriap25",NA,NA,"Unclass_c__bacteriap25","bt_35"
"g__MND1","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Nitrosomonadaceae","g__MND1",NA,NA,"g__MND1","bt_36"
"g__Candidatus Solibacter","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Solibacterales","f__Solibacteraceae","g__Candidatus Solibacter",NA,NA,"g__Candidatus Solibacter","bt_37"
"Unclass_o__Acidobacteriales","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Acidobacteriales","f__","Unclass_o__Acidobacteriales",NA,NA,"Unclass_o__Acidobacteriales","bt_38"
"Unclass_c__MB-A2-108","k__Bacteria","p__Actinobacteriota","c__MB-A2-108","o__","f__","Unclass_c__MB-A2-108",NA,NA,"Unclass_c__MB-A2-108","bt_39"
"g__Catenulispora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Catenulisporales","f__Catenulisporaceae","g__Catenulispora",NA,NA,"g__Catenulispora","bt_40"
"g__Salmonella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Salmonella",NA,NA,"g__Salmonella","bt_41"
"Unclass_c__Actinobacteria","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__","f__","Unclass_c__Actinobacteria",NA,NA,"Unclass_c__Actinobacteria","bt_42"
"g__Ellin6055","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Ellin6055",NA,NA,"g__Ellin6055","bt_43"
"Unclass_c__Subgroup 18","k__Bacteria","p__Acidobacteriota","c__Subgroup 18","o__","f__","Unclass_c__Subgroup 18",NA,NA,"Unclass_c__Subgroup 18","bt_44"
"g__Enterococcus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Enterococcaceae","g__Enterococcus",NA,NA,"g__Enterococcus","bt_45"
"g__Phaselicystis","k__Bacteria","p__Myxococcota","c__Polyangia","o__Polyangiales","f__Phaselicystidaceae","g__Phaselicystis",NA,NA,"g__Phaselicystis","bt_46"
"Unclass_p__RCP2-54","k__Bacteria","p__RCP2-54","c__","o__","f__","Unclass_p__RCP2-54",NA,NA,"Unclass_p__RCP2-54","bt_47"
"g__Pseudomonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas",NA,NA,"g__Pseudomonas","bt_48"
"Unclass_o__Elsterales","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Elsterales","f__","Unclass_o__Elsterales",NA,NA,"Unclass_o__Elsterales","bt_49"
"Unclass_c__AD3","k__Bacteria","p__Chloroflexi","c__AD3","o__","f__","Unclass_c__AD3",NA,NA,"Unclass_c__AD3","bt_50"
"g__Nocardioides","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Nocardioides",NA,NA,"g__Nocardioides","bt_51"
"g__Ramlibacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Ramlibacter",NA,NA,"g__Ramlibacter","bt_52"
"Unclass_f__JG30-KF-CM45","k__Bacteria","p__Chloroflexi","c__Chloroflexia","o__Thermomicrobiales","f__JG30-KF-CM45","Unclass_f__JG30-KF-CM45",NA,NA,"Unclass_f__JG30-KF-CM45","bt_53"
"g__Kribbella","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Kribbella",NA,NA,"g__Kribbella","bt_54"
"Unclass_o__Rokubacteriales","k__Bacteria","p__Methylomirabilota","c__Methylomirabilia","o__Rokubacteriales","f__","Unclass_o__Rokubacteriales",NA,NA,"Unclass_o__Rokubacteriales","bt_55"
"g__Streptomyces","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces",NA,NA,"g__Streptomyces","bt_56"
"Unclass_f__Vicinamibacteraceae","k__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","Unclass_f__Vicinamibacteraceae",NA,NA,"Unclass_f__Vicinamibacteraceae","bt_57"
"g__Dongia","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Dongiales","f__Dongiaceae","g__Dongia",NA,NA,"g__Dongia","bt_58"
"Unclass_f__Isosphaeraceae","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Isosphaerales","f__Isosphaeraceae","Unclass_f__Isosphaeraceae",NA,NA,"Unclass_f__Isosphaeraceae","bt_59"
"g__Singulisphaera","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Isosphaerales","f__Isosphaeraceae","g__Singulisphaera",NA,NA,"g__Singulisphaera","bt_60"
"g__Promicromonospora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Promicromonosporaceae","g__Promicromonospora",NA,NA,"g__Promicromonospora","bt_61"
"g__Anaeromyxobacter","k__Bacteria","p__Myxococcota","c__Myxococcia","o__Myxococcales","f__Anaeromyxobacteraceae","g__Anaeromyxobacter",NA,NA,"g__Anaeromyxobacter","bt_62"
"g__Devosia","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Devosiaceae","g__Devosia",NA,NA,"g__Devosia","bt_63"
"Unclass_f__WD2101 soil group","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__Tepidisphaerales","f__WD2101 soil group","Unclass_f__WD2101 soil group",NA,NA,"Unclass_f__WD2101 soil group","bt_64"
"Unclass_o__IMCC26256","k__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__IMCC26256","f__","Unclass_o__IMCC26256",NA,NA,"Unclass_o__IMCC26256","bt_65"
"g__Jatrophihabitans","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Frankiales","f__Frankiaceae","g__Jatrophihabitans",NA,NA,"g__Jatrophihabitans","bt_66"
"g__Arenimonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Arenimonas",NA,NA,"g__Arenimonas","bt_67"
"g__Haliangium","k__Bacteria","p__Myxococcota","c__Polyangia","o__Haliangiales","f__Haliangiaceae","g__Haliangium",NA,NA,"g__Haliangium","bt_68"
"Unclass_f__URHD0088","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Elsterales","f__URHD0088","Unclass_f__URHD0088",NA,NA,"Unclass_f__URHD0088","bt_69"
"g__Nitrosospira","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Nitrosomonadaceae","g__Nitrosospira",NA,NA,"g__Nitrosospira","bt_70"
"Unclass_f__Entotheonellaceae","k__Bacteria","p__Entotheonellaeota","c__Entotheonellia","o__Entotheonellales","f__Entotheonellaceae","Unclass_f__Entotheonellaceae",NA,NA,"Unclass_f__Entotheonellaceae","bt_71"
"g__Acidicaldus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Acetobacterales","f__Acetobacteraceae","g__Acidicaldus",NA,NA,"g__Acidicaldus","bt_72"
"g__Acidibacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__","f__","g__Acidibacter",NA,NA,"g__Acidibacter","bt_73"
"g__Pedomicrobium","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Pedomicrobium",NA,NA,"g__Pedomicrobium","bt_74"
"g__Mucilaginibacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Mucilaginibacter",NA,NA,"g__Mucilaginibacter","bt_75"
"Unclass_f__SC-I-84","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__SC-I-84","Unclass_f__SC-I-84",NA,NA,"Unclass_f__SC-I-84","bt_76"
"Unclass_c__Alphaproteobacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__","f__","Unclass_c__Alphaproteobacteria",NA,NA,"Unclass_c__Alphaproteobacteria","bt_77"
"g__ADurb.Bin063-1","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Pedosphaeraceae","g__ADurb.Bin063-1",NA,NA,"g__ADurb.Bin063-1","bt_78"
"g__Rubrobacter","k__Bacteria","p__Actinobacteriota","c__Rubrobacteria","o__Rubrobacterales","f__Rubrobacteriaceae","g__Rubrobacter",NA,NA,"g__Rubrobacter","bt_79"
"g__Actinoallomurus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptosporangiales","f__Thermomonosporaceae","g__Actinoallomurus",NA,NA,"g__Actinoallomurus","bt_80"
"g__Pseudaminobacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Pseudaminobacter",NA,NA,"g__Pseudaminobacter","bt_81"
"g__Micromonospora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Micromonospora",NA,NA,"g__Micromonospora","bt_82"
"Unclass_f__Thermomonosporaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptosporangiales","f__Thermomonosporaceae","Unclass_f__Thermomonosporaceae",NA,NA,"Unclass_f__Thermomonosporaceae","bt_83"
"g__Pseudonocardia","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Pseudonocardia",NA,NA,"g__Pseudonocardia","bt_84"
"g__Steroidobacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Steroidobacterales","f__Steroidobacteraceae","g__Steroidobacter",NA,NA,"g__Steroidobacter","bt_85"
"Unclass_o__Subgroup 17","k__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Subgroup 17","f__","Unclass_o__Subgroup 17",NA,NA,"Unclass_o__Subgroup 17","bt_86"
"Unclass_o__Frankiales","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Frankiales","f__","Unclass_o__Frankiales",NA,NA,"Unclass_o__Frankiales","bt_87"
"Unclass_o__C0119","k__Bacteria","p__Chloroflexi","c__Ktedonobacteria","o__C0119","f__","Unclass_o__C0119",NA,NA,"Unclass_o__C0119","bt_88"
"g__HSB OF53-F07","k__Bacteria","p__Chloroflexi","c__Ktedonobacteria","o__Ktedonobacterales","f__Ktedonobacteraceae","g__HSB OF53-F07",NA,NA,"g__HSB OF53-F07","bt_89"
"Unclass_f__Micromonosporaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","Unclass_f__Micromonosporaceae",NA,NA,"Unclass_f__Micromonosporaceae","bt_90"
"g__Flavobacterium","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium",NA,NA,"g__Flavobacterium","bt_91"
"g__Pedobacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Pedobacter",NA,NA,"g__Pedobacter","bt_92"
"g__Reyranella","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Reyranellales","f__Reyranellaceae","g__Reyranella",NA,NA,"g__Reyranella","bt_93"
"g__Mesorhizobium","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Mesorhizobium",NA,NA,"g__Mesorhizobium","bt_94"
"g__Janthinobacterium","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Janthinobacterium",NA,NA,"g__Janthinobacterium","bt_95"
"Unclass_o__Chloroplast","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Chloroplast","f__","Unclass_o__Chloroplast",NA,NA,"Unclass_o__Chloroplast","bt_96"
"Unclass_f__Gemmataceae","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Gemmatales","f__Gemmataceae","Unclass_f__Gemmataceae",NA,NA,"Unclass_f__Gemmataceae","bt_97"
"Unclass_o__Subgroup 7","k__Bacteria","p__Acidobacteriota","c__Holophagae","o__Subgroup 7","f__","Unclass_o__Subgroup 7",NA,NA,"Unclass_o__Subgroup 7","bt_98"
"Unclass_c__Acidimicrobiia","k__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__","f__","Unclass_c__Acidimicrobiia",NA,NA,"Unclass_c__Acidimicrobiia","bt_99"
"g__Dactylosporangium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Dactylosporangium",NA,NA,"g__Dactylosporangium","bt_100"
"g__Oxalicibacterium","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Oxalicibacterium",NA,NA,"g__Oxalicibacterium","bt_101"
"g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA,NA,"g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","bt_102"
"g__Nakamurella","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Frankiales","f__Nakamurellaceae","g__Nakamurella",NA,NA,"g__Nakamurella","bt_103"
"g__Piscinibacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Piscinibacter",NA,NA,"g__Piscinibacter","bt_104"
"g__Phenylobacterium","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Phenylobacterium",NA,NA,"g__Phenylobacterium","bt_105"
"g__Ellin516","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Pedosphaeraceae","g__Ellin516",NA,NA,"g__Ellin516","bt_106"
"g__Verrucosispora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Verrucosispora",NA,NA,"g__Verrucosispora","bt_107"
"g__Variovorax","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Variovorax",NA,NA,"g__Variovorax","bt_108"
"Unclass_f__Comamonadaceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","Unclass_f__Comamonadaceae",NA,NA,"Unclass_f__Comamonadaceae","bt_109"
"g__Skermanella","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Azospirillales","f__Azospirillaceae","g__Skermanella",NA,NA,"g__Skermanella","bt_110"
"g__Dyadobacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Spirosomaceae","g__Dyadobacter",NA,NA,"g__Dyadobacter","bt_111"
"g__TM7a","k__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__Saccharimonadaceae","g__TM7a",NA,NA,"g__TM7a","bt_112"
"g__Rhizobacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter",NA,NA,"g__Rhizobacter","bt_113"
"Unclass_f__TRA3-20","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__TRA3-20","Unclass_f__TRA3-20",NA,NA,"Unclass_f__TRA3-20","bt_114"
"g__Bauldia","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__","g__Bauldia",NA,NA,"g__Bauldia","bt_115"
"g__Nordella","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__","g__Nordella",NA,NA,"g__Nordella","bt_116"
"g__Puia","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Puia",NA,NA,"g__Puia","bt_117"
"g__Mycobacterium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycobacterium",NA,NA,"g__Mycobacterium","bt_118"
"g__Galbitalea","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Galbitalea",NA,NA,"g__Galbitalea","bt_119"
"g__Mycetocola","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Mycetocola",NA,NA,"g__Mycetocola","bt_120"
"Unclass_f__Oxalobacteraceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","Unclass_f__Oxalobacteraceae",NA,NA,"Unclass_f__Oxalobacteraceae","bt_121"
"g__Amycolatopsis","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Amycolatopsis",NA,NA,"g__Amycolatopsis","bt_122"
"Unclass_f__Microscillaceae","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Microscillaceae","Unclass_f__Microscillaceae",NA,NA,"Unclass_f__Microscillaceae","bt_123"
"g__Paucibacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Paucibacter",NA,NA,"g__Paucibacter","bt_124"
"Unclass_c__TK10","k__Bacteria","p__Chloroflexi","c__TK10","o__","f__","Unclass_c__TK10",NA,NA,"Unclass_c__TK10","bt_125"
"g__Sphaerotilus","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Sphaerotilus",NA,NA,"g__Sphaerotilus","bt_126"
"g__Rhodoplanes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Rhodoplanes",NA,NA,"g__Rhodoplanes","bt_127"
"g__Comamonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Comamonas",NA,NA,"g__Comamonas","bt_128"
"Unclass_f__Solirubrobacteraceae","k__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","Unclass_f__Solirubrobacteraceae",NA,NA,"Unclass_f__Solirubrobacteraceae","bt_129"
"g__Sphingopyxis","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingopyxis",NA,NA,"g__Sphingopyxis","bt_130"
"g__Aquisphaera","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Isosphaerales","f__Isosphaeraceae","g__Aquisphaera",NA,NA,"g__Aquisphaera","bt_131"
"g__Actinoplanes","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Actinoplanes",NA,NA,"g__Actinoplanes","bt_132"
"Unclass_f__A21b","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__A21b","Unclass_f__A21b",NA,NA,"Unclass_f__A21b","bt_133"
"g__Prosthecobacter","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__Prosthecobacter",NA,NA,"g__Prosthecobacter","bt_134"
"g__Archangium","k__Bacteria","p__Myxococcota","c__Myxococcia","o__Myxococcales","f__Myxococcaceae","g__Archangium",NA,NA,"g__Archangium","bt_135"
"Unclass_f__Nitrososphaeraceae","k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","Unclass_f__Nitrososphaeraceae",NA,NA,"Unclass_f__Nitrososphaeraceae","bt_136"
"g__Ellin517","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Pedosphaeraceae","g__Ellin517",NA,NA,"g__Ellin517","bt_137"
"Unclass_p__Latescibacterota","k__Bacteria","p__Latescibacterota","c__","o__","f__","Unclass_p__Latescibacterota",NA,NA,"Unclass_p__Latescibacterota","bt_138"
"Unclass_p__Actinobacteriota","k__Bacteria","p__Actinobacteriota","c__","o__","f__","Unclass_p__Actinobacteriota",NA,NA,"Unclass_p__Actinobacteriota","bt_139"
"Unclass_o__MSB-4B10","k__Bacteria","p__Myxococcota","c__Polyangia","o__MSB-4B10","f__","Unclass_o__MSB-4B10",NA,NA,"Unclass_o__MSB-4B10","bt_140"
"Unclass_o__Blfdi19","k__Bacteria","p__Myxococcota","c__Polyangia","o__Blfdi19","f__","Unclass_o__Blfdi19",NA,NA,"Unclass_o__Blfdi19","bt_141"
